答案代號,主題,問題,Ｑ換句話說,Ａ答案,關鍵字,同義詞
LQA-0-1,品牌介紹,介紹喜得,自我介紹 品牌介紹 關於品牌 關於喜得 請自我介紹 ,喜得炭火燒三明治創建於 2003年，從傅承自長輩的傳統做法與一台貸款中古貨車 家。在數年間，歷經品質與數量均具水準的府城小吃經 環境的嚴酷考驗，在「創新中堅持傳統，傳統中持續創新」的理念下，不僅通過了府城人對味道的苛求，更從而將每一張挑剔的嘴轉為一方方口碑，口耳相傳著這淡薄著無可比擬的炭火香氣的美味! 當這樣的口碑陸續轉成網路文字，透過社群網絡傳散時，勇於挑戰的喜得同時也在準備走向新的里程碑。因應時代的要求，喜得於2009年7月成立喜得餐飲商行，並於東寧路122號建構東寧門市旗艦店，專門提供喜得精心研發出的美味炭火燒三明治，讓炭火燒三明治的愛好 有更優質的用餐地點。喜得所推出的各式炭火燒三明治，除了傳承源自長輩的好手藝，更在挑戰府城小吃經 環境的過程中，自行研發調配出各式風味。首先針對土司，喜得特地開發新配方，引進鬆軟綿密、口味獨特的鮮奶土司，能充分將食材美味烘托而出，更滿足顧客對炭火燒三明治的品質要求。此外，除了主力的炭火燒三明治之外，喜得更持續開發多種美食與飲品，每每讓消費 驚喜並回味無窮!,品牌 喜得 介紹 ,
LQA-1-1,生活用語,打招呼用語,你好 安安 有人嗎 在嗎 ? Hi ,你好！我是喜得炭火燒三明治客服，請問需要什麼服務呢？,,
LQA-2-1,加盟問題,你們加盟金多少,你們家盟金很貴嗎？ 裝潢多少錢？ 全部弄到好多少？ ,要加入我們可到官網查詢相關資訊唷！http://www.my-hito.com.tw/,加盟金 家盟,
LQA-3-1,優惠相關,目前有活動嗎,有什麼活動呢 有優惠活動嗎 有活動嗎 現在有活動嗎 ,我們的特約活動以粉絲團公告為主喔！https://www.facebook.com/lbu2513r,活動,
LQA-3-2,優惠相關,有哪些特約商呢？,有特約廠商嗎？ 有哪些特約商呢 特約 有特約嗎 ,我們目前為崑山科技大學的特約商，凡來店出示學生證即可享有95折優惠,特約,
LQA-4-1,餐點詢問,請問有菜單嗎？,哪裡有菜單 我想點餐 可以看看菜單嗎？ 可以點餐嗎 可以預定嗎 ,你好！我們尚未提供線上點餐與預定，但可以來電點餐預定唷 :06-2717889線上菜單:https://www.facebook.com/lbu2513r/photos/a.1650222661925685/2631874673760474,菜單 點餐 預定,點餐
LQA-4-2,餐點詢問,你們有素食的嗎？,我想來點素食餐點 有素的嗎？ 有奶蛋素嗎？ ,你好！我們素食餐點 是奶蛋素喔！黃瓜蛋土司、素火退蛋土司、 司蛋土司薯泥沙拉蛋土司黃瓜雞蛋三明治DiDi卡三明治丹麥鮮蔬薯泥鮮蔬雞蛋堡慢烤 司三明治丹麥DiDi卡,素食 奶蛋 ,
LQA-4-3,餐點詢問,可以換飲料嗎？,飲料可以換濃湯嗎？ 有無糖的飲料嗎？ 可以補差額換飲料嗎？ 飲料可以升級大杯嗎？ 飲品可以換濃湯嗎？ 有無糖的飲品嗎？ 可以補差額換飲品嗎？ 飲品可以升級大杯嗎？ ,可以！我們可以換等值15元飲品，超過補差額！如需無糖飲品有伯爵紅茶可以調整甜度。,飲料 濃湯 無糖 ,飲品
LQA-4-4,餐點詢問,一號餐有什麼？,我想吃一號餐 一號餐 我想吃1號餐 1號餐 1號餐有什麼？ 介紹一號餐 介紹1號餐 ,你好！一號餐NT76  有招牌三明治+一份薯條+一杯15元飲料，飲料超過15元補差額,1號餐,一號餐
LQA-4-5,餐點詢問,有賣現成三明治嗎,有賣現成嗎？ 有快一點的嗎 ,我們現場有提供現成的三明治`，每日供貨已各分店現場為主唷！,現成三明治,現成
LQA-4-6,餐點詢問,你們用哪間廠牌的咖啡豆,咖啡豆用哪個牌子？ 咖啡豆來自哪裡？ 有研磨咖啡嗎？ ,有提供研磨咖啡，我們咖啡豆產地來自巴西，中深度烘培，入口散發濃郁核果及奶油香氣。,咖啡豆,研磨咖啡
LQA-4-7,餐點詢問,你們有咖啡？,你們有拿鐵？ 你們有摩卡？ 有熱咖啡嗎？ 有冰咖啡嗎？ ,我們有研磨咖啡唷！有招牌咖啡、拿鐵咖啡、摩卡咖啡。冷熱 可以調整喔！,拿鐵 摩卡 ,
LQA-4-8,餐點詢問,有推薦的餐點嗎？,賣最好的是什麼？ 有什麼推薦的 你們什麼賣比較好 ,我們主打的里肌豬排三明治賣的不錯，深受客戶喜愛。另外薯泥三明治、燒肉三明治也賣的不錯唷！,推薦 賣比較好 賣最好 ,
LQA-4-9,餐點詢問,我們不吃牛肉,不能吃牛 我不吃牛 ,我們只有 司牛肉堡還有牛肉丼刈包、牛肉拌麵有牛肉，其他商品 不含牛肉喔,不能吃,
LQA-4-10,餐點詢問,請問你們豬肉來源？,使用美豬嗎？ 你們使用台灣豬肉嗎？ 你們使用什麼豬肉？ 請問你們豬肉產地？ ,我們使用SGS檢驗合格100%的國產里肌豬肉。,豬肉 美豬,豬
LQA-4-11,餐點詢問,你們三明治 有小黃瓜嗎？, 有小黃瓜嗎？,我們有很多商品不加小黃瓜，如不喜歡小黃瓜我們也可幫您更換美生菜或番茄喔,小黃瓜,黃瓜
LQA-4-12,餐點詢問,我不喜歡小黃瓜,可以不要加小黃瓜嗎？ 小黃瓜可以換嗎 ,可以！如不喜歡小黃瓜我們也可幫您更換美生菜或番茄喔,不喜歡小黃瓜,不要加小黃瓜
LQA-4-13,餐點詢問,還有玉米濃湯嗎？,我要一杯濃湯 還有濃湯嗎 ,有的！我們玉米濃湯有馬鈴薯、胡蘿蔔、玉米、雞蛋，深受客人喜愛喔！另外雞肉濃湯可以選擇喔！,玉米濃湯,濃湯
LQA-4-14,餐點詢問,可以加 司嗎？,我要加 司,好的！加 司多10元唷！,加 司,
LQA-4-15,餐點詢問,可以不要加洋蔥嗎？,不要洋蔥 洋蔥可以換嗎？ ,可以！如不喜歡洋蔥我們也可幫您更換美生菜或番茄喔,洋蔥,
LQA-4-16,餐點詢問,有兒童餐嗎？,有小朋友的餐點嗎？ 我要兒童餐 兒童餐 ,你好！我們推薦16號餐雞塊餐包唷！另外還有果醬土司可以參考,兒童餐 小孩子 ,小朋友
LQA-4-17,餐點詢問,有果醬土司嗎,有奶油土司嗎 有草莓土司嗎 有藍莓土司嗎 有花生土司嗎 有奶酥土司嗎 有巧克力土司嗎 土司有哪些口味 ,有喔！我們有奶油、草莓、藍莓、花生、奶酥、巧克力口味的果醬土司喔,果醬 奶油 草莓 藍莓 花生 奶酥 巧克力 ,果醬土司 土司 吐司 
LQA-4-18,餐點詢問,你們有賣午餐嗎？,有麵或飯嗎？ ,我們有義大利麵、喜拌麵唷,午餐,有麵或飯嗎
LQA-4-19,餐點詢問,拌麵什麼口味,我想知道拌麵有哪幾種口味 拌麵有辣的嗎？ 還有拌麵嗎 喜拌麵什麼口味 ,我們有:沙茶拌麵、椒麻拌麵(辣)、沙茶燒肉拌麵、椒麻燒肉拌麵、豬肉丼/牛肉丼拌麵唷！,拌麵,喜拌麵
